Timestamp;Metric;FrameCount;PointsAdded;ChartTime_ms;FrameTime_ms;ChartImpact_Percent;FPS;AllocatedMemory_B
2026-06-08 14:27:37.041;Current;1469;1;0,0144;9,7554;0,15;102,5;0,00
2026-06-08 14:27:37.041;Torque;1469;1;0,0102;9,7554;0,10;102,5;8,00
2026-06-08 14:27:37.067;Velocity;1471;1;0,0296;9,1831;0,32;108,9;0,00
2026-06-08 14:27:37.068;Current;1471;1;0,0136;9,1831;0,15;108,9;0,00
2026-06-08 14:27:37.068;Torque;1471;1;0,0076;9,1831;0,08;108,9;4,00
2026-06-08 14:27:37.095;Velocity;1473;1;0,0292;10,4441;0,28;95,7;0,00
2026-06-08 14:27:37.096;Current;1473;1;0,0172;10,4441;0,16;95,7;0,00
2026-06-08 14:27:37.096;Torque;1473;1;0,0057;10,4441;0,05;95,7;0,00
2026-06-08 14:27:37.123;Velocity;1475;1;0,0293;10,1120;0,29;98,9;0,00
2026-06-08 14:27:37.124;Current;1475;1;0,0146;10,1120;0,14;98,9;0,00
2026-06-08 14:27:37.124;Torque;1475;1;0,0066;10,1120;0,07;98,9;0,00
2026-06-08 14:27:37.150;Velocity;1477;1;0,0272;10,4272;0,26;95,9;0,00
2026-06-08 14:27:37.151;Current;1477;1;0,0310;10,4272;0,30;95,9;0,00
2026-06-08 14:27:37.151;Torque;1477;1;0,0122;10,4272;0,12;95,9;12,00
2026-06-08 14:27:37.179;Velocity;1479;1;0,0328;10,4225;0,31;95,9;4,00
2026-06-08 14:27:37.179;Current;1479;1;0,0151;10,4225;0,14;95,9;0,00
2026-06-08 14:27:37.180;Torque;1479;1;0,0070;10,4225;0,07;95,9;0,00
2026-06-08 14:27:37.206;Velocity;1481;1;0,0345;10,4235;0,33;95,9;4,00
2026-06-08 14:27:37.207;Current;1481;1;0,0147;10,4235;0,14;95,9;0,00
2026-06-08 14:27:37.207;Torque;1481;1;0,0069;10,4235;0,07;95,9;0,00
2026-06-08 14:27:37.234;Velocity;1483;1;0,0332;10,1372;0,33;98,6;4,00
2026-06-08 14:27:37.235;Current;1483;1;0,0167;10,1372;0,16;98,6;0,00
2026-06-08 14:27:37.235;Torque;1483;1;0,0087;10,1372;0,09;98,6;0,00
2026-06-08 14:27:37.263;Velocity;1485;1;0,0452;10,2042;0,44;98,0;4,00
2026-06-08 14:27:37.263;Current;1485;1;0,0149;10,2042;0,15;98,0;0,00
2026-06-08 14:27:37.263;Torque;1485;1;0,0114;10,2042;0,11;98,0;4,00
2026-06-08 14:27:37.289;Velocity;1487;1;0,0433;9,7458;0,44;102,6;4,00
2026-06-08 14:27:37.290;Current;1487;1;0,0180;9,7458;0,18;102,6;8,00
2026-06-08 14:27:37.290;Torque;1487;1;0,0059;9,7458;0,06;102,6;0,00
2026-06-08 14:27:37.319;Velocity;1489;1;0,0578;11,2983;0,51;88,5;0,00
2026-06-08 14:27:37.320;Current;1489;1;0,0243;11,2983;0,22;88,5;4,00
2026-06-08 14:27:37.320;Torque;1489;1;0,0073;11,2983;0,06;88,5;0,00
2026-06-08 14:27:37.348;Velocity;1491;1;0,0311;8,5104;0,37;117,5;0,00
2026-06-08 14:27:37.348;Current;1491;1;0,0239;8,5104;0,28;117,5;4,00
2026-06-08 14:27:37.349;Torque;1491;1;0,0089;8,5104;0,10;117,5;0,00
2026-06-08 14:27:37.376;Velocity;1493;1;0,0330;9,6033;0,34;104,1;0,00
2026-06-08 14:27:37.377;Current;1493;1;0,0234;9,6033;0,24;104,1;0,00
2026-06-08 14:27:37.377;Torque;1493;1;0,0166;9,6033;0,17;104,1;8,00
2026-06-08 14:27:37.404;Velocity;1495;1;0,0320;8,0969;0,40;123,5;0,00
2026-06-08 14:27:37.404;Current;1495;1;0,0205;8,0969;0,25;123,5;0,00
2026-06-08 14:27:37.405;Torque;1495;1;0,0118;8,0969;0,15;123,5;4,00
2026-06-08 14:27:37.431;Velocity;1497;1;0,0386;8,5945;0,45;116,4;4,00
2026-06-08 14:27:37.432;Current;1497;1;0,0186;8,5945;0,22;116,4;0,00
2026-06-08 14:27:37.432;Torque;1497;1;0,0112;8,5945;0,13;116,4;4,00
2026-06-08 14:27:37.460;Velocity;1499;1;0,0372;7,9432;0,47;125,9;0,00
2026-06-08 14:27:37.460;Current;1499;1;0,0208;7,9432;0,26;125,9;0,00
2026-06-08 14:27:37.461;Torque;1499;1;0,0131;7,9432;0,16;125,9;8,00
2026-06-08 14:27:37.488;Velocity;1501;1;0,0308;8,8503;0,35;113,0;0,00
2026-06-08 14:27:37.488;Current;1501;1;0,0212;8,8503;0,24;113,0;0,00
2026-06-08 14:27:37.489;Torque;1501;1;0,0111;8,8503;0,13;113,0;4,00
2026-06-08 14:27:37.515;Velocity;1503;1;0,0310;8,9634;0,35;111,6;0,00
2026-06-08 14:27:37.516;Current;1503;1;0,0181;8,9634;0,20;111,6;0,00
2026-06-08 14:27:37.516;Torque;1503;1;0,0070;8,9634;0,08;111,6;0,00
2026-06-08 14:27:37.542;Velocity;1505;1;0,0314;8,0171;0,39;124,7;0,00
2026-06-08 14:27:37.543;Current;1505;1;0,0181;8,0171;0,23;124,7;0,00
2026-06-08 14:27:37.543;Torque;1505;1;0,0117;8,0171;0,15;124,7;4,00
2026-06-08 14:27:37.570;Velocity;1507;1;0,0304;8,3456;0,36;119,8;0,00
2026-06-08 14:27:37.571;Current;1507;1;0,0207;8,3456;0,25;119,8;0,00
2026-06-08 14:27:37.571;Torque;1507;1;0,0080;8,3456;0,10;119,8;0,00
2026-06-08 14:27:37.598;Velocity;1509;1;0,0381;8,3586;0,46;119,6;4,00
2026-06-08 14:27:37.599;Current;1509;1;0,0218;8,3586;0,26;119,6;0,00
2026-06-08 14:27:37.599;Torque;1509;1;0,0102;8,3586;0,12;119,6;4,00
2026-06-08 14:27:37.626;Velocity;1511;1;0,0473;8,7628;0,54;114,1;4,00
2026-06-08 14:27:37.627;Current;1511;1;0,0256;8,7628;0,29;114,1;4,00
2026-06-08 14:27:37.627;Torque;1511;1;0,0076;8,7628;0,09;114,1;0,00
2026-06-08 14:27:37.654;Velocity;1513;1;0,0487;7,8845;0,62;126,8;4,00
2026-06-08 14:27:37.655;Current;1513;1;0,0281;7,8845;0,36;126,8;0,00
2026-06-08 14:27:37.655;Torque;1513;1;0,0074;7,8845;0,09;126,8;0,00
2026-06-08 14:27:37.692;Velocity;1515;1;0,0300;16,1952;0,19;61,7;0,00
2026-06-08 14:27:37.693;Current;1515;1;0,0340;16,1952;0,21;61,7;8,00
2026-06-08 14:27:37.693;Torque;1515;1;0,0086;16,1952;0,05;61,7;0,00
2026-06-08 14:27:37.721;Velocity;1517;1;0,0304;8,7751;0,35;114,0;0,00
2026-06-08 14:27:37.722;Current;1517;1;0,0472;8,7751;0,54;114,0;8,00
2026-06-08 14:27:37.722;Torque;1517;1;0,0155;8,7751;0,18;114,0;4,00
2026-06-08 14:27:37.747;Velocity;1519;1;0,0302;8,9733;0,34;111,4;0,00
2026-06-08 14:27:37.748;Current;1519;1;0,0302;8,9733;0,34;111,4;4,00
2026-06-08 14:27:37.749;Torque;1519;1;0,0105;8,9733;0,12;111,4;0,00
2026-06-08 14:27:37.775;Velocity;1521;1;0,0362;8,0127;0,45;124,8;0,00
2026-06-08 14:27:37.776;Current;1521;1;0,0317;8,0127;0,40;124,8;0,00
2026-06-08 14:27:37.776;Torque;1521;1;0,0275;8,0127;0,34;124,8;8,00
2026-06-08 14:27:37.803;Velocity;1523;1;0,0298;8,3107;0,36;120,3;0,00
2026-06-08 14:27:37.804;Current;1523;1;0,0197;8,3107;0,24;120,3;0,00
2026-06-08 14:27:37.804;Torque;1523;1;0,0196;8,3107;0,24;120,3;4,00
2026-06-08 14:27:37.831;Velocity;1525;1;0,0499;8,2936;0,60;120,6;4,00
2026-06-08 14:27:37.832;Current;1525;1;0,0228;8,2936;0,27;120,6;0,00
2026-06-08 14:27:37.832;Torque;1525;1;0,0244;8,2936;0,29;120,6;8,00
2026-06-08 14:27:37.859;Velocity;1527;1;0,0319;8,0507;0,40;124,2;0,00
2026-06-08 14:27:37.862;Current;1527;1;0,0239;8,0507;0,30;124,2;0,00
2026-06-08 14:27:37.863;Torque;1527;1;0,0235;8,0507;0,29;124,2;4,00
2026-06-08 14:27:37.900;Velocity;1529;1;0,0353;13,0010;0,27;76,9;0,00
2026-06-08 14:27:37.901;Current;1529;1;0,0232;13,0010;0,18;76,9;0,00
2026-06-08 14:27:37.901;Torque;1529;1;0,0082;13,0010;0,06;76,9;0,00
2026-06-08 14:27:37.928;Velocity;1531;1;0,0354;8,6340;0,41;115,8;0,00
2026-06-08 14:27:37.929;Current;1531;1;0,0220;8,6340;0,25;115,8;0,00
2026-06-08 14:27:37.929;Torque;1531;1;0,0106;8,6340;0,12;115,8;0,00
2026-06-08 14:27:37.957;Velocity;1533;1;0,0324;8,2745;0,39;120,9;0,00
2026-06-08 14:27:37.958;Current;1533;1;0,0263;8,2745;0,32;120,9;0,00
2026-06-08 14:27:37.958;Torque;1533;1;0,0156;8,2745;0,19;120,9;8,00
2026-06-08 14:27:37.983;Velocity;1535;1;0,0375;9,1168;0,41;109,7;0,00
2026-06-08 14:27:37.984;Current;1535;1;0,0208;9,1168;0,23;109,7;0,00
2026-06-08 14:27:37.984;Torque;1535;1;0,0095;9,1168;0,10;109,7;0,00
2026-06-08 14:27:38.011;Velocity;1537;1;0,0364;8,6046;0,42;116,2;0,00
2026-06-08 14:27:38.012;Current;1537;1;0,0208;8,6046;0,24;116,2;0,00
2026-06-08 14:27:38.013;Torque;1537;1;0,0087;8,6046;0,10;116,2;0,00
2026-06-08 14:27:38.040;Velocity;1539;1;0,0361;8,3834;0,43;119,3;0,00
2026-06-08 14:27:38.040;Current;1539;1;0,0203;8,3834;0,24;119,3;0,00
2026-06-08 14:27:38.041;Torque;1539;1;0,0098;8,3834;0,12;119,3;0,00
2026-06-08 14:27:38.067;Velocity;1541;1;0,0335;8,6059;0,39;116,2;0,00
2026-06-08 14:27:38.067;Current;1541;1;0,0191;8,6059;0,22;116,2;0,00
2026-06-08 14:27:38.068;Torque;1541;1;0,0112;8,6059;0,13;116,2;4,00
2026-06-08 14:27:38.096;Velocity;1543;1;0,0356;8,2206;0,43;121,6;0,00
2026-06-08 14:27:38.097;Current;1543;1;0,0287;8,2206;0,35;121,6;4,00
2026-06-08 14:27:38.097;Torque;1543;1;0,0085;8,2206;0,10;121,6;0,00
2026-06-08 14:27:38.124;Velocity;1545;1;0,0358;8,4664;0,42;118,1;0,00
2026-06-08 14:27:38.124;Current;1545;1;0,0233;8,4664;0,28;118,1;0,00
2026-06-08 14:27:38.125;Torque;1545;1;0,0082;8,4664;0,10;118,1;0,00
2026-06-08 14:27:38.152;Velocity;1547;1;0,0352;8,3389;0,42;119,9;0,00
2026-06-08 14:27:38.152;Current;1547;1;0,0242;8,3389;0,29;119,9;0,00
2026-06-08 14:27:38.153;Torque;1547;1;0,0107;8,3389;0,13;119,9;0,00
2026-06-08 14:27:38.180;Velocity;1549;1;0,0349;8,3039;0,42;120,4;0,00
2026-06-08 14:27:38.180;Current;1549;1;0,0239;8,3039;0,29;120,4;0,00
2026-06-08 14:27:38.181;Torque;1549;1;0,0114;8,3039;0,14;120,4;4,00
2026-06-08 14:27:38.206;Velocity;1551;1;0,0580;9,3163;0,62;107,3;0,00
2026-06-08 14:27:38.207;Current;1551;1;0,0248;9,3163;0,27;107,3;0,00
2026-06-08 14:27:38.207;Torque;1551;1;0,0084;9,3163;0,09;107,3;0,00
2026-06-08 14:27:38.236;Velocity;1553;1;0,0424;9,5197;0,45;105,0;4,00
2026-06-08 14:27:38.237;Current;1553;1;0,0414;9,5197;0,43;105,0;0,00
2026-06-08 14:27:38.238;Torque;1553;1;0,0082;9,5197;0,09;105,0;0,00
2026-06-08 14:27:38.276;Velocity;1555;1;0,0329;18,1450;0,18;55,1;0,00
2026-06-08 14:27:38.276;Current;1555;1;0,0414;18,1450;0,23;55,1;4,00
2026-06-08 14:27:38.277;Torque;1555;1;0,0080;18,1450;0,04;55,1;0,00
2026-06-08 14:27:38.306;Velocity;1557;1;0,0346;10,8609;0,32;92,1;0,00
2026-06-08 14:27:38.307;Current;1557;1;0,0448;10,8609;0,41;92,1;4,00
2026-06-08 14:27:38.308;Torque;1557;1;0,0140;10,8609;0,13;92,1;4,00
2026-06-08 14:27:38.346;Velocity;1559;1;0,0312;16,1653;0,19;61,9;0,00
2026-06-08 14:27:38.347;Current;1559;1;0,0346;16,1653;0,21;61,9;0,00
2026-06-08 14:27:38.347;Torque;1559;1;0,0139;16,1653;0,09;61,9;4,00
