"Date","Time","Millisecond","Prędkość [m/min]","Prąd - składowa rzeczywista [A]","Obciążenie [%]","Moment obrotowy [kNm]","Siła nacisku - strona prawa [kN]","Siła nacisku - strona lewa [kN]","Nastawa pionowa walca - strona prawa  [mm]","Nastawa pionowa walca - strona lewa [mm]","Temperatura wlewka przed walcarką [C]","Temperatura wlewka za walcarką [C]"
"2025/05/26","13:57:48",654,"-11.254","-43.847","-20.697","-17.612","143.468","64.931","21.367","21.472","300.0","300.0"
"2025/05/26","13:57:48",788,"-11.650","-38.982","-18.315","-15.372","143.446","64.952","21.366","21.473","300.0","300.0"
"2025/05/26","13:57:48",838,"-11.650","-38.982","-18.315","-15.372","143.446","64.952","21.367","21.473","300.0","300.0"
"2025/05/26","13:57:48",937,"-12.087","-39.144","-18.611","-15.986","143.446","64.952","21.367","21.472","300.0","300.0"
"2025/05/26","13:57:49",55,"-12.397","-39.883","-19.141","-14.997","143.381","64.952","21.367","21.473","300.0","300.0"
"2025/05/26","13:57:49",187,"-12.538","-21.441","-10.138","-8.279","143.381","65.017","21.368","21.473","300.0","300.0"
"2025/05/26","13:57:49",270,"-12.538","-25.281","-12.186","-10.957","143.338","65.061","21.367","21.473","300.0","300.0"
"2025/05/26","13:57:49",371,"-12.538","-23.479","-11.197","-9.313","143.338","65.061","21.368","21.473","300.0","300.0"
"2025/05/26","13:57:49",470,"-12.538","-23.998","-11.507","-10.065","143.294","65.061","21.367","21.472","300.0","300.0"
"2025/05/26","13:57:49",588,"-12.538","-23.067","-11.040","-9.107","143.294","65.082","21.367","21.472","300.0","300.0"
"2025/05/26","13:57:49",687,"-12.538","-23.085","-10.932","-8.886","143.229","65.082","21.367","21.471","300.0","300.0"
"2025/05/26","13:57:49",788,"-12.538","-25.076","-11.831","-8.835","143.229","65.126","21.368","21.472","300.0","300.0"
"2025/05/26","13:57:49",904,"-12.538","-23.783","-11.346","-8.824","143.229","65.126","21.367","21.472","300.0","300.0"
"2025/05/26","13:57:49",987,"-12.538","-24.419","-11.618","-9.952","143.229","65.126","21.367","21.472","300.0","300.0"
"2025/05/26","13:57:50",138,"-12.538","-23.281","-11.143","-7.950","143.229","65.082","21.367","21.472","300.0","300.0"
